Action_Category,Specific_Action,Active_Substance_Code,Active_Substance_Name,Chemical_Class,Mode_of_Action,Application_Method_Dosage,Expected_Result,Efficacy_Level,Target_Crops
FRUIT_MANAGEMENT,Parthenocarpy,24-Epibrassinolide (EBR),24-Epibrassinolide (EBR),Brassinosteroid,Brassinosteroid signaling,Spray fruit 0.2 µM EBR,"Induced parthenocarpic fruit growth (~80.1% parthenocarpy); 1 ppm 28-homobrassinolide thrice at 10/20/30 days after planting — spayed 0.2 µM EBR — application of EBR to unpollinated flowers induced parthenocarpic growth and production of fruits similar to those of the pollinated flowers. Among them, 0.2 µM EBR treatment showed the highest parthenocarpy percentage (c. 80.1%)",MEDIUM,"Strawberry, fruits"
FRUIT_MANAGEMENT,Fruit growth,NAA,Naphthaleneacetic Acid,Synthetic auxin,Fruit set/growth promoter,Apply 30-400 ppm,"Reduced fruit drop, enlarged receptacle, delayed ripening — 40 ppm accelerates flowering by stimulating florigen production — 19.97 mg/l , 30-60-75-100-150-300ppm, The plant growth regulators were applied on the 30th and 45th days after planting on strawberry — reducing fruit drop spraying strawberry cv. with 400 ppm NAA resulted in the greatest natural product width, weightenlargement of receptacle, fruit size growth and delay fruit ripening",MEDIUM,"Strawberry, fruit crops"
GROWTH_REGULATION,Growth & ripening,Triacontanol (TRIA),Triacontanol,Long-chain alcohol,"Growth promotion, auxin/ABA/ethylene modulation",Foliar spray 1-150 ppm; 50 µM for fruit coloration,"Enhanced vegetative growth, fruit size/weight; accelerated fruit coloration and ripening; raised ABA/ethylene, lowered IAA; inhibited fruit-softening enzymes; promoted chlorophyll synthesis — strawberry plants with a small concentration of (TRIA) 1-30-35-100-150ppm this improved morphological adjectives TA treatment (50 µM) accelerated fruit coloration and ripening. Spray on the entire strawberry plant once before flowering/ Spray 50 µM TA directly onto the fruit surface. Effective at 5–50 ppm, especially when applied before flowering. Cover treated fruits with silver paper to reduce light exposure. Repeat treatment every other day, for a total of 3 applications. 10 µM resulted in enhanced vegetative growth (plant height, number of leaves per plant, plant speeded) of strawberry Sweet Charlie and reported that the plants treated with 5 ppm triacontanol took the maximum number of days for flowering, bud formation, and delayed harvesting 100 ppm triacontanol showed the maximum fruit size and fruit weight — Enhanced hormone levels: ABA and ethylene increased, while IAA decreased. Stress Resistance. inhibited enzymes linked to fruit softening. Promoted chlorophyll synthesis, Promoted auxin and ABA, Inhibited ethylene",MEDIUM,"Strawberry, fruit crops"
GROWTH_REGULATION,Cytokinin / runner promotion,6-BA,Benzyladenine (6-BA),Synthetic cytokinin,Cytokinin signaling,Foliar 50-150 ppm,"50 mg/L 6-BA significantly increased runner number; 50 ppm 6-BA + 50 ppm GA3 enlarged fruit dry weight — 50-100-150ppm — 50 mg/L 6-BA significantly increased the number of runners. — 50ppm 6BA + 50ppm GA3 one time at 3,5 leaf enlarge dry weight of fruit",MEDIUM,"Strawberry, fruits"
FRUIT_MANAGEMENT,Post-harvest,Hexanal,Hexanal,Aldehyde,Membrane protection,Post-harvest treatment,"Extended shelf life, maintained color — Extends shelf life, maintains fruit color. Used in papaya and mango post-harvest treatments",MEDIUM,"Papaya, mango, fruits"
GROWTH_REGULATION,Vigor & defense,Salicylic Acid,Salicylic acid,Phenolic,SAR inducer,Apply 2-8 mM foliar,"Increased fruit firmness, stress tolerance — 2 mM + 10 µM TRIA Two sprays were done; 1st at 3-4 leaf stage during spring growth & 2nd at 15 days after 1st application. — pre harvest spray of SA at 8 mM effective to increase the fruit firmness, — 75 ppm GA3 + 200 ppm SA produced the most robust results weekly or beweekly from 5 leaf — tomato plants were approximately 48 to 63 days old from sowing twice beweekly 50ppm GA3 + 50ppm SA",MEDIUM,"Strawberry, tomato, fruits"
FRUIT_MANAGEMENT,Fruit size,CPPU,Forchlorfenuron,Synthetic cytokinin,Cell division promoter,Apply 10-50 ppm foliar,"Increased fruit weight, length and retention — 10-50ppm foliar spray sprayed mango trees at 14 days after blooming which results that CPPU at 10 ppm, gave the best result in increasing fruit retention, number of fruit per cluster, fruit weight, volume and leaf area — ncreased fruit weight, length, and diamete",MEDIUM,"Mango, strawberry, fruits"
FRUIT_MANAGEMENT,Ripening delay,Melatonin,Melatonin,Indoleamine,Antioxidant / ripening signaling,Fruit spray 100 µM,"Delayed ripening, improved color, firmness and TSS — fruit sprayed 100 µM — delay ripening, impove colour, firmness, and TSS",MEDIUM,"Strawberry, fruits"
FOLIAR_APPLICATION,Stress signaling,GABA,GABA,Amino Acid,Stress signal molecule,10 mM,"Enhanced stress tolerance, fruit color, weight and firmness; reduced decay during storage",MEDIUM,"reharvest GABA Application Most effective at the red-turning stage.Improved fruit color, weight, firmness, SSC, and levels of citric acid, vitamin C, and soluble sugars. Postharvest GABA Treatment Delayed the decline of organic acids, sugars, firmness, color, and SSC. Reduced decay incidence and weight loss during storage. — Strawberry, tomato, fruit crops"
FOLIAR_APPLICATION,NO donor,Sodium nitroprusside,Sodium nitroprusside (SNP),Iron nitrosyl complex,Nitric oxide (NO) donor,Foliar application,NO-mediated stress tolerance and ripening signaling,LOW,Fruit crops
FOLIAR_APPLICATION,H2S donor,Sodium hydrosulfide,Sodium hydrosulfide (NaHS),Sulfide salt,Hydrogen sulfide (H2S) donor,Foliar application,H2S-mediated stress tolerance and ripening signaling,LOW,Fruit crops
GROWTH_REGULATION,Growth retardant,Ancymidol,Ancymidol,Pyrimidine,Gibberellin biosynthesis inhibitor,Foliar / drench,"Reduced vegetative growth, dwarfing — GA inhibitor",MEDIUM,"Ornamentals, fruit crops"
FOLIAR_APPLICATION,Hormone-like biostimulant,Polyhexamethylene guanidine,Polyhexamethylene guanidine (PHMG),Polymeric guanidine,Hormone-like growth regulation,Foliar application,Hormone-like action; growth regulation and disease protection,LOW,Various crops
